cluster_id,cluster,keyword,search_intent,competitor_ranking_page,competitor_position,keyword_role,our_hub_url,target_type,recommended_asset,status,live_url,plan_day,published_date,cannibalization_note
C01,Superscript generator,exponent generator,informational,smalltextgen.com/superscript-generator/,top 3,blog,/tools/superscript,Blog post,How to Type Superscript Numbers & Exponents (copy & paste),Live,https://smalltextgen.site/guides/superscript-numbers-exponents,,,
C01,Superscript generator,superscript copy,informational,smalltextgen.com/superscript-generator/,top 3,secondary,/tools/superscript,Money page (secondary / on-page section),TOOL: /tools/superscript,Live,https://smalltextgen.site/tools/superscript,,,
C01,Superscript generator,superscript text,commercial,smalltextgen.com/superscript-generator/,top 4,secondary,/tools/superscript,Money page (secondary / on-page section),TOOL: /tools/superscript,Live,https://smalltextgen.site/tools/superscript,,,
C01,Superscript generator,superscript letters copy paste,informational,smalltextgen.com/superscript-generator/,top 4,secondary,/tools/superscript,Money page (secondary / on-page section),TOOL: /tools/superscript,Live,https://smalltextgen.site/tools/superscript,,,
C01,Superscript generator,supercript generator,informational,smalltextgen.com/superscript-generator/,top 3,variant,/tools/superscript,Money page (misspelling / near-dupe — no separate page),TOOL: /tools/superscript,Live,https://smalltextgen.site/tools/superscript,,,
C01,Superscript generator,superscript text generator,commercial,smalltextgen.com/superscript-generator/,top 5,secondary,/tools/superscript,Money page (secondary / on-page section),TOOL: /tools/superscript,Live,https://smalltextgen.site/tools/superscript,,,
C01,Superscript generator,superscript creator,informational,smalltextgen.com/superscript-generator/,top 3,secondary,/tools/superscript,Money page (secondary / on-page section),TOOL: /tools/superscript,Live,https://smalltextgen.site/tools/superscript,,,
C01,Superscript generator,super script generator,informational,smalltextgen.com/superscript-generator/,top 3,variant,/tools/superscript,Money page (misspelling / near-dupe — no separate page),TOOL: /tools/superscript,Live,https://smalltextgen.site/tools/superscript,,,
C01,Superscript generator,superscript unicode generator,commercial,smalltextgen.com/superscript-generator/,top 5,secondary,/tools/superscript,Money page (secondary / on-page section),TOOL: /tools/superscript,Live,https://smalltextgen.site/tools/superscript,,,
C01,Superscript generator,discord superscript generator,informational,smalltextgen.com/superscript-generator/,top 2,blog,/tools/superscript,Blog post,"Superscript in Discord (copy, paste, what renders)",Live,https://smalltextgen.site/guides/superscript-discord,,,
C01,Superscript generator,subscript and superscript generator,informational,smalltextgen.com/superscript-generator/,top 1,secondary,/tools/superscript,Money page (secondary / on-page section),TOOL: /tools/superscript,Live,https://smalltextgen.site/tools/superscript,,,DUPLICATE: mapped to both /tools/superscript and /tools/subscript. Owner = /tools/superscript; subscript page links to it for combined queries.
C01,Superscript generator,superscript font generator,commercial,smalltextgen.com/superscript-generator/,top 5,secondary,/tools/superscript,Money page (secondary / on-page section),TOOL: /tools/superscript,Live,https://smalltextgen.site/tools/superscript,,,
C01,Superscript generator,online superscript generator,informational,smalltextgen.com/superscript-generator/,top 3,secondary,/tools/superscript,Money page (secondary / on-page section),TOOL: /tools/superscript,Live,https://smalltextgen.site/tools/superscript,,,
C01,Superscript generator,superscript gen,informational,smalltextgen.com/superscript-generator/,top 4,variant,/tools/superscript,Money page (misspelling / near-dupe — no separate page),TOOL: /tools/superscript,Live,https://smalltextgen.site/tools/superscript,,,
C01,Superscript generator,copy paste superscript,informational,smalltextgen.com/superscript-generator/,top 3,secondary,/tools/superscript,Money page (secondary / on-page section),TOOL: /tools/superscript,Live,https://smalltextgen.site/tools/superscript,,,
C02,Underline / underscore text,underscore text,informational,smalltextgen.com/underline-text-generator/,top 1,primary,/tools/underline,Money page (primary target),TOOL: /tools/underline,Live,https://smalltextgen.site/tools/underline,,,
C02,Underline / underscore text,underline word generator,informational,smalltextgen.com/underline-text-generator/,top 5,secondary,/tools/underline,Money page (secondary / on-page section),TOOL: /tools/underline,Live,https://smalltextgen.site/tools/underline,,,
C02,Underline / underscore text,underline font copy and paste,informational,smalltextgen.com/underline-text-generator/,top 4,secondary,/tools/underline,Money page (secondary / on-page section),TOOL: /tools/underline,Live,https://smalltextgen.site/tools/underline,,,
C03,Bubble text,bubble fonts copy and paste,informational,smalltextgen.com/bubble-text-generator/,top 1,primary,/tools/bubble,Money page (primary target),TOOL: /tools/bubble,Live,https://smalltextgen.site/tools/bubble,,,
C03,Bubble text,bubbly fonts copy and paste,commercial,smalltextgen.com/bubble-text-generator/,top 1,secondary,/tools/bubble,Money page (secondary / on-page section),TOOL: /tools/bubble,Live,https://smalltextgen.site/tools/bubble,,,
C03,Bubble text,bubble letter copy and paste,informational,smalltextgen.com/bubble-text-generator/,top 1,secondary,/tools/bubble,Money page (secondary / on-page section),TOOL: /tools/bubble,Live,https://smalltextgen.site/tools/bubble,,,
C03,Bubble text,copy paste bubble letters,informational,smalltextgen.com/bubble-text-generator/,top 1,secondary,/tools/bubble,Money page (secondary / on-page section),TOOL: /tools/bubble,Live,https://smalltextgen.site/tools/bubble,,,
C03,Bubble text,bubble letters to copy and paste,informational,smalltextgen.com/bubble-text-generator/,top 1,secondary,/tools/bubble,Money page (secondary / on-page section),TOOL: /tools/bubble,Live,https://smalltextgen.site/tools/bubble,,,
C03,Bubble text,copy and paste bubble letters,informational,smalltextgen.com/bubble-text-generator/,top 1,secondary,/tools/bubble,Money page (secondary / on-page section),TOOL: /tools/bubble,Live,https://smalltextgen.site/tools/bubble,,,
C03,Bubble text,bubble copy,informational,smalltextgen.com/bubble-text-generator/,top 5,variant,/tools/bubble,Money page (misspelling / near-dupe — no separate page),TOOL: /tools/bubble,Live,https://smalltextgen.site/tools/bubble,,,
C03,Bubble text,bubble font generator copy and paste,informational,smalltextgen.com/bubble-text-generator/,top 2,secondary,/tools/bubble,Money page (secondary / on-page section),TOOL: /tools/bubble,Live,https://smalltextgen.site/tools/bubble,,,
C03,Bubble text,bubbly font copy and paste,commercial,smalltextgen.com/bubble-text-generator/,top 1,secondary,/tools/bubble,Money page (secondary / on-page section),TOOL: /tools/bubble,Live,https://smalltextgen.site/tools/bubble,,,
C03,Bubble text,bubble letters copy paste,informational,smalltextgen.com/bubble-text-generator/,top 1,secondary,/tools/bubble,Money page (secondary / on-page section),TOOL: /tools/bubble,Live,https://smalltextgen.site/tools/bubble,,,
C03,Bubble text,bubble font copy and paste,informational,smalltextgen.com/bubble-text-generator/,top 1,secondary,/tools/bubble,Money page (secondary / on-page section),TOOL: /tools/bubble,Live,https://smalltextgen.site/tools/bubble,,,
C03,Bubble text,bubbles copy and paste,informational,smalltextgen.com/bubble-text-generator/,top 6,variant,/tools/bubble,Money page (misspelling / near-dupe — no separate page),TOOL: /tools/bubble,Live,https://smalltextgen.site/tools/bubble,,,
C04,Unicode text converter,text generator unicode,informational,smalltextgen.com/unicode-text-converter/,top 2,primary,/tools/unicode (NEW),Money page (primary target),TOOL: /tools/unicode (NEW),Live,https://smalltextgen.site/tools/unicode-text-converter,,,
C04,Unicode text converter,unicode font maker,informational,smalltextgen.com/unicode-text-converter/,top 2,secondary,/tools/unicode (NEW),Money page (secondary / on-page section),TOOL: /tools/unicode (NEW),Live,https://smalltextgen.site/tools/unicode-text-converter,,,
C04,Unicode text converter,unicode text formatter,informational,smalltextgen.com/unicode-text-converter/,top 6,secondary,/tools/unicode (NEW),Money page (secondary / on-page section),TOOL: /tools/unicode (NEW),Live,https://smalltextgen.site/tools/unicode-text-converter,,,
C04,Unicode text converter,unicode to text converter,informational,smalltextgen.com/unicode-text-converter/,top 5,blog,/tools/unicode (NEW),Blog post,Unicode Text Converter: How Copy-Paste Fonts Actually Work,Live,https://smalltextgen.site/guides/unicode-text-converter-explained,,,
C04,Unicode text converter,text converter unicode,commercial,smalltextgen.com/unicode-text-converter/,top 3,secondary,/tools/unicode (NEW),Money page (secondary / on-page section),TOOL: /tools/unicode (NEW),Live,https://smalltextgen.site/tools/unicode-text-converter,,,
C04,Unicode text converter,unicode text converter font,informational,smalltextgen.com/unicode-text-converter/,top 3,secondary,/tools/unicode (NEW),Money page (secondary / on-page section),TOOL: /tools/unicode (NEW),Live,https://smalltextgen.site/tools/unicode-text-converter,,,
C04,Unicode text converter,unicode text generator,commercial,smalltextgen.com/unicode-text-converter/,top 2,secondary,/tools/unicode (NEW),Money page (secondary / on-page section),TOOL: /tools/unicode (NEW),Live,https://smalltextgen.site/tools/unicode-text-converter,,,
C04,Unicode text converter,font generator unicode,commercial,smalltextgen.com/unicode-text-converter/,top 2,secondary,/tools/unicode (NEW),Money page (secondary / on-page section),TOOL: /tools/unicode (NEW),Live,https://smalltextgen.site/tools/unicode-text-converter,,,
C04,Unicode text converter,unicode fonts generator,informational,smalltextgen.com/unicode-text-converter/,top 2,secondary,/tools/unicode (NEW),Money page (secondary / on-page section),TOOL: /tools/unicode (NEW),Live,https://smalltextgen.site/tools/unicode-text-converter,,,
C04,Unicode text converter,unicode letters generator,informational,smalltextgen.com/unicode-text-converter/,top 3,secondary,/tools/unicode (NEW),Money page (secondary / on-page section),TOOL: /tools/unicode (NEW),Live,https://smalltextgen.site/tools/unicode-text-converter,,,
C04,Unicode text converter,unicode font generator,commercial,smalltextgen.com/unicode-text-converter/,top 2,secondary,/tools/unicode (NEW),Money page (secondary / on-page section),TOOL: /tools/unicode (NEW),Live,https://smalltextgen.site/tools/unicode-text-converter,,,
C04,Unicode text converter,unicode text converter,informational,smalltextgen.com/unicode-text-converter/,top 3,primary,/tools/unicode (NEW),Money page (primary target),TOOL: /tools/unicode (NEW),Live,https://smalltextgen.site/tools/unicode-text-converter,22,,"Also targeted by /guides/unicode-text-converter-explained — keep guide informational, tool transactional."
C04,Unicode text converter,unicode text generators,commercial,smalltextgen.com/unicode-text-converter/,top 3,variant,/tools/unicode (NEW),Money page (misspelling / near-dupe — no separate page),TOOL: /tools/unicode (NEW),Live,https://smalltextgen.site/tools/unicode-text-converter,,,
C05,Fancy text generator,fancy fonts for text,informational,smalltextgen.com/fancy-text-generator/,top 4,primary,/tools/fancy (NEW),Money page (primary target),TOOL: /tools/fancy (NEW),Live,https://smalltextgen.site/tools/fancy-text-generator,,,
C05,Fancy text generator,font typing generator,informational,smalltextgen.com/fancy-text-generator/,top 5,secondary,/tools/fancy (NEW),Money page (secondary / on-page section),TOOL: /tools/fancy (NEW),Live,https://smalltextgen.site/tools/fancy-text-generator,,,
C05,Fancy text generator,fancy tack generator,informational,smalltextgen.com/fancy-text-generator/,top 5,variant,/tools/fancy (NEW),Money page (misspelling / near-dupe — no separate page),TOOL: /tools/fancy (NEW),Live,https://smalltextgen.site/tools/fancy-text-generator,,,
C05,Fancy text generator,special fonts generator,informational,smalltextgen.com/fancy-text-generator/,top 3,secondary,/tools/fancy (NEW),Money page (secondary / on-page section),TOOL: /tools/fancy (NEW),Live,https://smalltextgen.site/tools/fancy-text-generator,,,
C05,Fancy text generator,fancy texts,informational,smalltextgen.com/fancy-text-generator/,top 4,secondary,/tools/fancy (NEW),Money page (secondary / on-page section),TOOL: /tools/fancy (NEW),Live,https://smalltextgen.site/tools/fancy-text-generator,,,
C05,Fancy text generator,fancy copy and paste text generator,informational,smalltextgen.com/fancy-text-generator/,top 6,secondary,/tools/fancy (NEW),Money page (secondary / on-page section),TOOL: /tools/fancy (NEW),Live,https://smalltextgen.site/tools/fancy-text-generator,,,
C05,Fancy text generator,fancy font generator copy paste,informational,smalltextgen.com/fancy-text-generator/,top 4,secondary,/tools/fancy (NEW),Money page (secondary / on-page section),TOOL: /tools/fancy (NEW),Live,https://smalltextgen.site/tools/fancy-text-generator,,,
C05,Fancy text generator,fancy font maker,commercial,smalltextgen.com/fancy-text-generator/,top 5,secondary,/tools/fancy (NEW),Money page (secondary / on-page section),TOOL: /tools/fancy (NEW),Live,https://smalltextgen.site/tools/fancy-text-generator,,,
C05,Fancy text generator,copy paste fancy font,informational,smalltextgen.com/fancy-text-generator/,top 3,secondary,/tools/fancy (NEW),Money page (secondary / on-page section),TOOL: /tools/fancy (NEW),Live,https://smalltextgen.site/tools/fancy-text-generator,,,
C05,Fancy text generator,fancy text copy and paste generator,informational,smalltextgen.com/fancy-text-generator/,top 4,secondary,/tools/fancy (NEW),Money page (secondary / on-page section),TOOL: /tools/fancy (NEW),Live,https://smalltextgen.site/tools/fancy-text-generator,,,
C05,Fancy text generator,stylish fonts copy paste,informational,smalltextgen.com/fancy-text-generator/,top 5,blog,/tools/fancy (NEW),Blog post,Fancy Text Generator: Every Copy-Paste Font Style Explained,Live,https://smalltextgen.site/guides/fancy-text-styles-explained,,,
C05,Fancy text generator,fancy type,commercial,smalltextgen.com/fancy-text-generator/,top 5,variant,/tools/fancy (NEW),Money page (misspelling / near-dupe — no separate page),TOOL: /tools/fancy (NEW),Live,https://smalltextgen.site/tools/fancy-text-generator,,,
C05,Fancy text generator,copy paste fancy,informational,smalltextgen.com/fancy-text-generator/,top 4,secondary,/tools/fancy (NEW),Money page (secondary / on-page section),TOOL: /tools/fancy (NEW),Live,https://smalltextgen.site/tools/fancy-text-generator,,,
C05,Fancy text generator,francy text,commercial,smalltextgen.com/fancy-text-generator/,top 5,variant,/tools/fancy (NEW),Money page (misspelling / near-dupe — no separate page),TOOL: /tools/fancy (NEW),Live,https://smalltextgen.site/tools/fancy-text-generator,,,
C05,Fancy text generator,fancey text,commercial,smalltextgen.com/fancy-text-generator/,top 3,variant,/tools/fancy (NEW),Money page (misspelling / near-dupe — no separate page),TOOL: /tools/fancy (NEW),Live,https://smalltextgen.site/tools/fancy-text-generator,,,
C05,Fancy text generator,fancy text generator copy and paste,informational,smalltextgen.com/fancy-text-generator/,top 3,secondary,/tools/fancy (NEW),Money page (secondary / on-page section),TOOL: /tools/fancy (NEW),Live,https://smalltextgen.site/tools/fancy-text-generator,,,
C05,Fancy text generator,fancy font text generator,informational,smalltextgen.com/fancy-text-generator/,top 4,secondary,/tools/fancy (NEW),Money page (secondary / on-page section),TOOL: /tools/fancy (NEW),Live,https://smalltextgen.site/tools/fancy-text-generator,,,
C06,Small caps generator,small capital letter generator,informational,smalltextgen.com/small-caps-generator/,top 3,primary,/tools/small-caps,Money page (primary target),TOOL: /tools/small-caps,Live,https://smalltextgen.site/tools/small-caps,,,
C06,Small caps generator,font generator small caps,informational,smalltextgen.com/small-caps-generator/,top 3,secondary,/tools/small-caps,Money page (secondary / on-page section),TOOL: /tools/small-caps,Live,https://smalltextgen.site/tools/small-caps,,,
C06,Small caps generator,small caps fonts generator,informational,smalltextgen.com/small-caps-generator/,top 3,secondary,/tools/small-caps,Money page (secondary / on-page section),TOOL: /tools/small-caps,Live,https://smalltextgen.site/tools/small-caps,,,
C06,Small caps generator,copy and paste small caps,informational,smalltextgen.com/small-caps-generator/,top 3,secondary,/tools/small-caps,Money page (secondary / on-page section),TOOL: /tools/small-caps,Live,https://smalltextgen.site/tools/small-caps,,,
C06,Small caps generator,small caps text generator,informational,smalltextgen.com/small-caps-generator/,top 3,secondary,/tools/small-caps,Money page (secondary / on-page section),TOOL: /tools/small-caps,Live,https://smalltextgen.site/tools/small-caps,,,
C06,Small caps generator,small capital letters copy and paste,informational,smalltextgen.com/small-caps-generator/,top 3,secondary,/tools/small-caps,Money page (secondary / on-page section),TOOL: /tools/small-caps,Live,https://smalltextgen.site/tools/small-caps,,,
C06,Small caps generator,small caps gen,informational,smalltextgen.com/small-caps-generator/,top 4,variant,/tools/small-caps,Money page (misspelling / near-dupe — no separate page),TOOL: /tools/small-caps,Live,https://smalltextgen.site/tools/small-caps,,,
C06,Small caps generator,small capital generator,informational,smalltextgen.com/small-caps-generator/,top 3,secondary,/tools/small-caps,Money page (secondary / on-page section),TOOL: /tools/small-caps,Live,https://smalltextgen.site/tools/small-caps,,,
C06,Small caps generator,small capital letters text,informational,smalltextgen.com/small-caps-generator/,top 3,secondary,/tools/small-caps,Money page (secondary / on-page section),TOOL: /tools/small-caps,Live,https://smalltextgen.site/tools/small-caps,,,
C06,Small caps generator,small caps copy and paste,informational,smalltextgen.com/small-caps-generator/,top 3,secondary,/tools/small-caps,Money page (secondary / on-page section),TOOL: /tools/small-caps,Live,https://smalltextgen.site/tools/small-caps,,,
C06,Small caps generator,small caps generator,commercial,smalltextgen.com/small-caps-generator/,top 6,primary,/tools/small-caps,Money page (primary target),TOOL: /tools/small-caps,Live,https://smalltextgen.site/tools/small-caps,8,2026-09-22,
C06,Small caps generator,small capital letters generator,informational,smalltextgen.com/small-caps-generator/,top 3,secondary,/tools/small-caps,Money page (secondary / on-page section),TOOL: /tools/small-caps,Live,https://smalltextgen.site/tools/small-caps,,,
C06,Small caps generator,text generator small caps,informational,smalltextgen.com/small-caps-generator/,top 3,secondary,/tools/small-caps,Money page (secondary / on-page section),TOOL: /tools/small-caps,Live,https://smalltextgen.site/tools/small-caps,,,
C06,Small caps generator,small capital letters copy paste,informational,smalltextgen.com/small-caps-generator/,top 3,secondary,/tools/small-caps,Money page (secondary / on-page section),TOOL: /tools/small-caps,Live,https://smalltextgen.site/tools/small-caps,,,
C07,Font generator / copy-paste fonts,font generator,commercial,fontsgeneratorpro.com/,top 1-5 (competitor),primary,/,Money page (primary target),HOME: /,Live,https://smalltextgen.site/,,,
C07,Font generator / copy-paste fonts,copy and paste fonts,commercial,fontsgeneratorpro.com/,top 5,primary,/,Money page (primary target),HOME: /,Live,https://smalltextgen.site/,,,
C07,Font generator / copy-paste fonts,font copy and paste,commercial,fontsgeneratorpro.com/,top 4,primary,/,Money page (primary target),HOME: /,Live,https://smalltextgen.site/,,,
C07,Font generator / copy-paste fonts,fonts copy paste,commercial,fontsgeneratorpro.com/,top 6,secondary,/,Money page (secondary / on-page section),HOME: /,Live,https://smalltextgen.site/,,,
C07,Font generator / copy-paste fonts,fonts copy and paste,commercial,fontsgeneratorpro.com/,top 6,secondary,/,Money page (secondary / on-page section),HOME: /,Live,https://smalltextgen.site/,,,
C07,Font generator / copy-paste fonts,copy paste fonts,commercial,fontsgeneratorpro.com/,top 5,secondary,/,Money page (secondary / on-page section),HOME: /,Live,https://smalltextgen.site/,,,
C07,Font generator / copy-paste fonts,font copy paste,commercial,fontsgeneratorpro.com/,top 4,secondary,/,Money page (secondary / on-page section),HOME: /,Live,https://smalltextgen.site/,,,
C07,Font generator / copy-paste fonts,copy and paste font,commercial,fontsgeneratorpro.com/,top 4,secondary,/,Money page (secondary / on-page section),HOME: /,Live,https://smalltextgen.site/,,,
C07,Font generator / copy-paste fonts,copy paste font,commercial,fontsgeneratorpro.com/,top 5,secondary,/,Money page (secondary / on-page section),HOME: /,Live,https://smalltextgen.site/,,,
C07,Font generator / copy-paste fonts,copy fonts paste,informational,fontsgeneratorpro.com/,top 4,variant,/,Money page (misspelling / near-dupe — no separate page),HOME: /,Live,https://smalltextgen.site/,,,
C07,Font generator / copy-paste fonts,free fonts copy and paste,informational,fontsgeneratorpro.com/,top 5,blog,/,Blog post,Are Copy-Paste Fonts Free & Safe to Use? (licensing + accessibility),Live,https://smalltextgen.site/guides/are-copy-paste-fonts-safe,,,
C07,Font generator / copy-paste fonts,font generator copy paste,commercial,fontsgeneratorpro.com/,top 5,secondary,/,Money page (secondary / on-page section),HOME: /,Live,https://smalltextgen.site/,,,
C07,Font generator / copy-paste fonts,text generator copy and paste,commercial,fontsgeneratorpro.com/,top 5,secondary,/,Money page (secondary / on-page section),HOME: /,Live,https://smalltextgen.site/,,,
C07,Font generator / copy-paste fonts,fonts to copy and paste,informational,fontsgeneratorpro.com/,top 6,secondary,/,Money page (secondary / on-page section),HOME: /,Live,https://smalltextgen.site/,,,
C07,Font generator / copy-paste fonts,font generator copy and paste,informational,fontsgeneratorpro.com/,top 5,secondary,/,Money page (secondary / on-page section),HOME: /,Live,https://smalltextgen.site/,,,
C07,Font generator / copy-paste fonts,copy a n d paste fonts,informational,fontsgeneratorpro.com/,top 5,variant,/,Money page (misspelling / near-dupe — no separate page),HOME: /,Live,https://smalltextgen.site/,,,
C07,Font generator / copy-paste fonts,copy n paste fonts,commercial,fontsgeneratorpro.com/,top 5,variant,/,Money page (misspelling / near-dupe — no separate page),HOME: /,Live,https://smalltextgen.site/,,,
C07,Font generator / copy-paste fonts,fonts copy,informational,fontsgeneratorpro.com/,top 4,variant,/,Money page (misspelling / near-dupe — no separate page),HOME: /,Live,https://smalltextgen.site/,,,
C07,Font generator / copy-paste fonts,copy font paste,informational,fontsgeneratorpro.com/,top 5,variant,/,Money page (misspelling / near-dupe — no separate page),HOME: /,Live,https://smalltextgen.site/,,,
C07,Font generator / copy-paste fonts,copy n paste font,informational,fontsgeneratorpro.com/,top 4,variant,/,Money page (misspelling / near-dupe — no separate page),HOME: /,Live,https://smalltextgen.site/,,,
C07,Font generator / copy-paste fonts,copy paste font generator,informational,fontsgeneratorpro.com/,top 5,secondary,/,Money page (secondary / on-page section),HOME: /,Live,https://smalltextgen.site/,,,
C07,Font generator / copy-paste fonts,copy and past fonts,informational,fontsgeneratorpro.com/,top 4,variant,/,Money page (misspelling / near-dupe — no separate page),HOME: /,Live,https://smalltextgen.site/,,,
C07,Font generator / copy-paste fonts,different fonts copy and paste,informational,fontsgeneratorpro.com/,top 4,blog,/,Blog post,Cool & Different Fonts to Copy and Paste (style gallery),Live,https://smalltextgen.site/guides/cool-different-fonts,,,
C07,Font generator / copy-paste fonts,cool fonts copy and paste,commercial,fontsgeneratorpro.com/,top 5,blog,/,Blog post,Cool & Different Fonts to Copy and Paste (style gallery),Live,https://smalltextgen.site/guides/cool-different-fonts,,,
C07,Font generator / copy-paste fonts,font text generator,commercial,fontsgeneratorpro.com/,top 8,secondary,/,Money page (secondary / on-page section),HOME: /,Live,https://smalltextgen.site/,,,
C07,Font generator / copy-paste fonts,copy past font,informational,fontsgeneratorpro.com/,top 4,variant,/,Money page (misspelling / near-dupe — no separate page),HOME: /,Live,https://smalltextgen.site/,,,
C07,Font generator / copy-paste fonts,text font copy paste,informational,fontsgeneratorpro.com/,top 6,variant,/,Money page (misspelling / near-dupe — no separate page),HOME: /,Live,https://smalltextgen.site/,,,
C07,Font generator / copy-paste fonts,copy and paste words,informational,fontsgeneratorpro.com/,top 6,blog,/,Blog post,Copy and Paste Words & Text: Formatting Tricks for Bios,Live,https://smalltextgen.site/guides/copy-paste-text-tricks-social-media-bios,,,
C07,Font generator / copy-paste fonts,different font generator,informational,fontsgeneratorpro.com/,top 9,secondary,/,Money page (secondary / on-page section),HOME: /,Live,https://smalltextgen.site/,,,
C07,Font generator / copy-paste fonts,copy and paste fonts free,informational,fontsgeneratorpro.com/,top 9,blog,/,Blog post,Are Copy-Paste Fonts Free & Safe to Use? (licensing + accessibility),Live,https://smalltextgen.site/guides/are-copy-paste-fonts-safe,,,
C07,Font generator / copy-paste fonts,font copy n paste,informational,fontsgeneratorpro.com/,top 4,variant,/,Money page (misspelling / near-dupe — no separate page),HOME: /,Live,https://smalltextgen.site/,,,
C07,Font generator / copy-paste fonts,special font copy and paste,commercial,fontsgeneratorpro.com/,top 8,blog,/,Blog post,Copy and Paste Fonts: The Complete Guide to Every Style,Live,https://smalltextgen.site/guides/copy-paste-fonts-guide,,,
C08,Small / tiny text generator (home),tiny text generator,commercial,smalltextgen.com/,top 4,primary,/,Money page (primary target),HOME: /,Live,https://smalltextgen.site/,29,,"Sibling of home ""small text generator"" — keep the three-smallest-styles angle."
C08,Small / tiny text generator (home),small text generator,commercial,smalltextgen.com/,top 4,primary,/,Money page (primary target),HOME: /,Live,https://smalltextgen.site/,28,,"Home page = target. /tools/tiny-text-generator + /guides/how-to-make-tiny-text are siblings; never retarget ""small text generator"" on them."
C08,Small / tiny text generator (home),tiny text,commercial,smalltextgen.com/,top 4,primary,/,Money page (primary target),HOME: /,Live,https://smalltextgen.site/,,,
C08,Small / tiny text generator (home),tiny letter generator,commercial,smalltextgen.com/,top 4,secondary,/,Money page (secondary / on-page section),HOME: /,Live,https://smalltextgen.site/,,,
C08,Small / tiny text generator (home),little text generator,commercial,smalltextgen.com/,top 4,secondary,/,Money page (secondary / on-page section),HOME: /,Live,https://smalltextgen.site/,,,
C08,Small / tiny text generator (home),small text,commercial,smalltextgen.com/,top 3,primary,/,Money page (primary target),HOME: /,Live,https://smalltextgen.site/,,,
C08,Small / tiny text generator (home),tiny text maker,commercial,smalltextgen.com/,top 4,secondary,/,Money page (secondary / on-page section),HOME: /,Live,https://smalltextgen.site/,,,
C08,Small / tiny text generator (home),small text copy and paste,informational,smalltextgen.com/,top 4,secondary,/,Money page (secondary / on-page section),HOME: /,Live,https://smalltextgen.site/,,,
C08,Small / tiny text generator (home),small letters,informational,smalltextgen.com/,top 5,secondary,/,Money page (secondary / on-page section),HOME: /,Live,https://smalltextgen.site/,,,
C08,Small / tiny text generator (home),small font copy paste,commercial,smalltextgen.com/,top 4,secondary,/,Money page (secondary / on-page section),HOME: /,Live,https://smalltextgen.site/,,,
C08,Small / tiny text generator (home),small letters copy and paste,commercial,smalltextgen.com/,top 4,secondary,/,Money page (secondary / on-page section),HOME: /,Live,https://smalltextgen.site/,,,
C08,Small / tiny text generator (home),tiny font,informational,smalltextgen.com/,top 4,secondary,/,Money page (secondary / on-page section),HOME: /,Live,https://smalltextgen.site/,,,
